id,platform_group,platform,country,language,product_group,item_type,product_name,product,product_display,review,rating,sentiment,logistics_issue,delivery_speed,packaging_quality,damage_status,leakage_status,wrong_delivery,return_exchange_issue,source_type,source_url,postdate,collected_at,language_label,country_label,data_type
1,KR_platform,naver,KR,ko,생활용품,세제,세제 배송 누수,세제 배송 누수,세제 배송 누수,"삼성 세탁기 출장 서비스 후기 - 자동 세제 함 누수 , 세제 샘... 찜찜함도 해결됐고 문제도 해결돼서 아주 만족스러웠던 # 세제 누수 관련 삼성전자 출장서비스 후기 전화 상담 직원도 방문 기사님도 모두 친절하셨고 안내도 잘 해주셨다 앞으론 고장날 일이 없길 바라며...!",,부정,누수,보통,나쁨,없음,있음,없음,없음,naver_api_search_result,https://blog.naver.com/about_brain/223534064825,20240803,2026-05-30,한국어,한국,실제 수집 데이터
2,KR_platform,naver,KR,ko,생활용품,세제,세제 배송 누수,세제 배송 누수,세제 배송 누수,"욕실 세제 무료 배송 추천 5선 모음 욕실 세제 무료 배송 추천 5선 모음 1. 유한양행 유한락스 후로랄 살균 악취제거 표백 세정제 2L X3개 이... https://naver.me/GmpHdWsY 설치와 사용법이 간단하고, 잦은 누수 걱정 없이 안정적으로 쓰기 좋은 구조입니다....",,부정,누수,보통,나쁨,없음,있음,없음,없음,naver_api_search_result,https://blog.naver.com/9ywmznay/224233663802,20260329,2026-05-30,한국어,한국,실제 수집 데이터
3,KR_platform,naver,KR,ko,생활용품,세제,세제 배송 누수,세제 배송 누수,세제 배송 누수,삼성 세탁기 세제 통 후면 노즐 섬유유연제 누수 조치... 이렇게 수평을 유지해도 노즐이 막아주지 못하고 누수 가 있습니다. 1588-3366 삼성전자 서비스센터에... 수비 서비스 비용 낼바에 저정도는 혼자하는게 좋을거 같아서 집으로 배송 해달라고 했습니다. 세제 통...,,부정,누수,보통,나쁨,없음,있음,없음,없음,naver_api_search_result,https://blog.naver.com/arranwhisky/223644269562,20241102,2026-05-30,한국어,한국,실제 수집 데이터
4,KR_platform,naver,KR,ko,생활용품,세제,세제 배송 누수,세제 배송 누수,세제 배송 누수,"액체 화장품 해외 배송 , 누수 ·파손 걱정 없는... 해외로 물품을 보내보신 분들이라면 한 번쯤은 배송 중 파손, 누수 , 반품 등의 문제를 겪어보셨을... 제품 세제 , 섬유유연제, 주방세척제 등 생활용품 한약, 액상 건강식품, 홍삼스틱 등 액상 파우치류 제품이...",,부정,누수,보통,나쁨,없음,있음,없음,없음,naver_api_search_result,https://blog.naver.com/skyworldexpress/223969111770,20250813,2026-05-30,한국어,한국,실제 수집 데이터
5,KR_platform,naver,KR,ko,생활용품,세제,세제 배송 누수,세제 배송 누수,세제 배송 누수,"세제 주입형 롱핸들 회전 세척솔, 설거지부터 싱크대 청소까지... 세제 누수 를 방지한 밀봉형 일체형 구조 이 제품은 브러쉬 내부에 액체 세제 를 리필하여 채워두고... 세탁 세제 1.5L, 알로에베라, 2개 프로쉬 공식스토어 naver.me [N 배송 ] 도블레 칼집 강한 항균도마 시그니처...",,부정,누수,보통,나쁨,없음,있음,없음,없음,naver_api_search_result,https://blog.naver.com/lepigood/224297966614,20260527,2026-05-30,한국어,한국,실제 수집 데이터
6,KR_platform,naver,KR,ko,생활용품,세제,세제 배송 누수,세제 배송 누수,세제 배송 누수,위메프 원더 배송 퍼실액체 세제 싸고 빠르게 도착! 액체 세제 뚜껑부분까지 신경쓴 포장과 또 흐를수있어 누수 방지로 붙인 테이프까지 그냥 지나칠수있는... ㅋㅋ 세탁력도 좋고 향까지 좋은 퍼실액체 세제 를 착한 가격과 빠른 배송 으로 만나게 해준 위메프...,,부정,누수,보통,나쁨,없음,있음,없음,없음,naver_api_search_result,https://blog.naver.com/ppeunimama/220927577790,20170205,2026-05-30,한국어,한국,실제 수집 데이터
7,KR_platform,naver,KR,ko,생활용품,세제,세제 배송 누수,세제 배송 누수,세제 배송 누수,에코버 식기세척기 세제 린스 인기상품 450ml 2입 정품 빠른 배송 병 입구를 깨끗이 관리하면 막힘이나 누수 우려가 줄어들어서 장기 보관에 유리했어요. • 보관은... 버튼 눌러 직접 보세요. https://naver.me/5mvgIAcC #에코버 #식기세척기 #린스 # 세제 #450ml #2입 #정품 #빠른 배송 요,,부정,누수,보통,나쁨,없음,있음,없음,없음,naver_api_search_result,https://blog.naver.com/gtqmscguc/224286281085,20260515,2026-05-30,한국어,한국,실제 수집 데이터
8,KR_platform,naver,KR,ko,생활용품,세제,세제 배송 누수,세제 배송 누수,세제 배송 누수,"세탁용 캡슐세탁 세제 추천 정품 빠른 배송 구매전 체크리스트 보관성 액체 세제 보다 흘림이나 누수 위험이 적고, 분말 세제 보다 보관이 편해 캠핑용 세탁이나 외출... com/26OPK #카포드 #아로퓸캡슐 세제 #캡슐세탁 세제 #고농축 #액체 세제 #세탁 세제 추천 #인기상품 #정품 #빠른 배송",,부정,누수,보통,나쁨,없음,있음,없음,없음,naver_api_search_result,https://blog.naver.com/rblgzrbuj/224269241009,20260429,2026-05-30,한국어,한국,실제 수집 데이터
9,KR_platform,naver,KR,ko,생활용품,세제,세제 배송 누수,세제 배송 누수,세제 배송 누수,비트 스트롱세븐 액체 세제 세탁 세제 넉넉한 222L 6입 정품... 장점이지만 확인할 점은 배송 중 세제 누수 여부를 볼 필요가 있다는 점이에요. 액체 세제 특성상 포장 상태가 조금만 손상돼도 문제가 될 수 있어요. 비트 브랜드의 제품이라 포장 신경은 쓴 편이었어요....,,부정,누수,보통,나쁨,없음,있음,없음,없음,naver_api_search_result,https://blog.naver.com/uxagqofcy/224287639149,20260516,2026-05-30,한국어,한국,실제 수집 데이터
10,KR_platform,naver,KR,ko,생활용품,세제,세제 배송 누수,세제 배송 누수,세제 배송 누수,액체 세제 가성비 세탁 세제 222L 6입 넉넉한 묶음 정품 빠른 배송 비트 제품은 캡이 단단해서 보관 중 누수 걱정은 적더라고요. • 선반 위에 두면 사용 동선이 단축돼요... https://naver.me/xsZja4Fx #비트 #스트롱세븐 #세탁 세제 #정품 #액체 세제 #222L #6입 #넉넉한 #구성 #빠른 배송 .,,부정,누수,보통,나쁨,없음,있음,없음,없음,naver_api_search_result,https://blog.naver.com/xknonplfv/224287247942,20260516,2026-05-30,한국어,한국,실제 수집 데이터
